CustomerID,Name,Email,City,Country
1,John Doe,john.doe@email.com,New York,USA
2,Jane Smith,jane.smith@email.com,Los Angeles,USA
3,Mike Johnson,mike.j@email.com,Chicago,USA
4,Emily Davis,emily.d@email.com,Houston,USA
5,Robert Brown,robert.b@email.com,Phoenix,USA
6,Linda White,linda.w@email.com,Dallas,USA
7,David Miller,david.m@email.com,Miami,USA
8,Sarah Wilson,sarah.w@email.com,Seattle,USA
9,Daniel Moore,daniel.m@email.com,Boston,USA
10,Laura Taylor,laura.t@email.com,Denver,USA
11,Kevin Anderson,kevin.a@email.com,San Jose,USA
12,Megan Thomas,megan.t@email.com,Atlanta,USA
13,Brian Jackson,brian.j@email.com,Orlando,USA
14,Amy Martin,amy.m@email.com,Portland,USA
15,Eric Lee,eric.l@email.com,Austin,USA
16,Rachel Perez,rachel.p@email.com,Las Vegas,USA
17,Justin Clark,justin.c@email.com,Sacramento,USA
18,Olivia Lewis,olivia.l@email.com,Minneapolis,USA
19,Andrew Hall,andrew.h@email.com,San Diego,USA
20,Sophia Allen,sophia.a@email.com,Nashville,USA
